seed,radius,duration,noa,snr,F1_score,roc_auc
3,2,10,450,15,0.6456014261850952,0.8094698507036482
4,2,10,450,15,0.6321357661483167,0.8007826167959552
5,2,10,450,15,0.6519634852794448,0.8163462141738982
6,2,10,450,15,0.6282510557739915,0.7958400624704395
7,2,10,450,15,0.6473562823212572,0.8017908090721406
8,2,10,450,15,0.608248314023863,0.7819581060823403
9,2,10,450,15,0.6327932271809823,0.7980574617068987
10,2,10,450,15,0.6376522438283553,0.8062141338297657
11,2,10,450,15,0.646558692333024,0.8100617609659237
12,2,10,450,15,0.6349838196970131,0.8004699183474013
13,2,10,450,15,0.6300681319639148,0.795192841065162
14,2,10,450,15,0.6426208577563693,0.8022701800759354
15,2,10,450,15,0.6465043091625644,0.8128673071891126
16,2,10,450,15,0.6548938960419647,0.8089968768800033
17,2,10,450,15,0.621631790686232,0.7791620582423804
18,2,10,450,15,0.6416168270203114,0.805354755546445
19,2,10,450,15,0.6500967146119053,0.8066675987172511
20,2,10,450,15,0.6409938604329404,0.8127217830187942
21,2,10,450,15,0.6579569346770101,0.8158362469888047
22,2,10,450,15,0.6439711797216354,0.7987695549031857
23,2,10,450,15,0.6296824104234527,0.7927291235666101
24,2,10,450,15,0.652044759762358,0.809950000895048
25,2,10,450,15,0.6378195390825051,0.8016210366610899
26,2,10,450,15,0.6332686796167096,0.7972181852830125
27,2,10,450,15,0.635774615295615,0.7993525005544467
28,2,10,450,15,0.6406623841770225,0.7999432790422675
29,2,10,450,15,0.6422343641013718,0.8033941132694667
30,2,10,450,15,0.6317752685529227,0.7979129434837166
31,2,10,450,15,0.6370696349987056,0.7978050423587412
32,2,10,450,15,0.6374084162381833,0.7991240479634033
33,2,10,450,15,0.6347512961883843,0.7974003799554245
34,2,10,450,15,0.643533763690433,0.8065269187413054
35,2,10,450,15,0.6510981051167642,0.8038131063169338
36,2,10,450,15,0.6517874667040516,0.8045958242373202
37,2,10,450,15,0.6471502214477601,0.8035959562310664
38,2,10,450,15,0.6628886151170374,0.8221319398184247
39,2,10,450,15,0.654362706871155,0.8174965727336845
40,2,10,450,15,0.6512847404299947,0.811581517247427
41,2,10,450,15,0.6442286947141316,0.8100889404883711
42,2,10,450,15,0.637547382736769,0.8029467090219143
43,2,10,450,15,0.6493299989881323,0.8065833381638567
44,2,10,450,15,0.6345359324992726,0.8010707491504538
45,2,10,450,15,0.6365698333769519,0.800781557880299
46,2,10,450,15,0.6616741361862079,0.8222695726288942
47,2,10,450,15,0.6467247254827717,0.8130759359849337
48,2,10,450,15,0.6310319014165611,0.7932643157884479
49,2,10,450,15,0.6258505375252078,0.7926855898699263
50,2,10,450,15,0.636657526338577,0.8013351899623072
1,2,10,450,20,0.6979832688153336,0.8441466364436915
2,2,10,450,20,0.7140735614285508,0.8503950679659317
3,2,10,450,20,0.70579317508668,0.8533712504346778
4,2,10,450,20,0.6979029289430588,0.8439665407440482
5,2,10,450,20,0.7086417179193162,0.8528330455476787
6,2,10,450,20,0.6782292121741663,0.8322132538367852
7,2,10,450,20,0.7029381007635337,0.8412167922715803
8,2,10,450,20,0.675283878033316,0.8205218426109152
9,2,10,450,20,0.7004653509755551,0.8445475772114823
10,2,10,450,20,0.7169828176647509,0.8614544710995536
11,2,10,450,20,0.7092476723647576,0.8481546693974874
12,2,10,450,20,0.6902259514877287,0.8344278297695412
13,2,10,450,20,0.6866946554905066,0.834944876565184
14,2,10,450,20,0.7152805989205502,0.8486702702680525
15,2,10,450,20,0.7111778377676083,0.8597420626031527
16,2,10,450,20,0.7058595612780162,0.8410266729776465
17,2,10,450,20,0.7029029550519522,0.8399616160345795
18,2,10,450,20,0.6937389847158418,0.8368309281032937
19,2,10,450,20,0.7053622071292486,0.8486695110698378
20,2,10,450,20,0.7034848528521603,0.858850422769573
21,2,10,450,20,0.7006742550569129,0.8449384662586455
