seed,radius,duration,noa,snr,F1_score,roc_auc
24,2,10,450,10,0.6722904770144777,0.8323653007741051
25,2,10,450,10,0.7086497981858426,0.8580752190545171
26,2,10,450,10,0.736212836175202,0.868452775355487
27,2,10,450,10,0.6859597362027074,0.8402299847673076
28,2,10,450,10,0.7269115322709279,0.8665839748342407
29,2,10,450,10,0.6780981167170426,0.8432904301894406
30,2,10,450,10,0.643225815779201,0.822534815535868
31,2,10,450,10,0.6842983288750827,0.8526998695613599
32,2,10,450,10,0.6781349686102573,0.8436484664647903
33,2,10,450,10,0.6723743780537003,0.8356876785841929
34,2,10,450,10,0.7339667803002828,0.8672519302205607
35,2,10,450,10,0.685808657356435,0.8469617375716372
36,2,10,450,10,0.7184074022150567,0.8735401473223174
37,2,10,450,10,0.7209177376025557,0.8622318691944405
38,2,10,450,10,0.7146894702514675,0.8718380797918439
39,2,10,450,10,0.7376599370360742,0.874382828459385
40,2,10,450,10,0.6636901640572328,0.8228030314886834
41,2,10,450,10,0.6717008270406328,0.8434347693862486
42,2,10,450,10,0.7007436557770769,0.8617142989622759
43,2,10,450,10,0.6982176672111479,0.8499496689233029
44,2,10,450,10,0.7263311027058481,0.8801541579733072
45,2,10,450,10,0.7038587920555992,0.8498965327782259
46,2,10,450,10,0.7461905450339743,0.8681068195590826
47,2,10,450,10,0.6904435965397723,0.8597351682064966
48,2,10,450,10,0.6647759990786595,0.8275861398684214
49,2,10,450,10,0.6623819403136652,0.8216744019594663
50,2,10,450,10,0.7313320825515948,0.8640370099523187
1,2,10,450,15,0.773868035318168,0.8947911614304302
2,2,10,450,15,0.7929408711449457,0.9014096198297776
3,2,10,450,15,0.7921503670742149,0.9106450531729132
4,2,10,450,15,0.7568875813394009,0.8954382536256631
5,2,10,450,15,0.8184539321826927,0.915312418921882
6,2,10,450,15,0.7309159749526722,0.8803802738987131
7,2,10,450,15,0.7401836492042345,0.8770813628595391
8,2,10,450,15,0.7801602397832728,0.8959905171239375
9,2,10,450,15,0.7387026239067055,0.866979052771025
10,2,10,450,15,0.8079568803787857,0.913722586691229
11,2,10,450,15,0.7459210250576296,0.8913965389132814
12,2,10,450,15,0.8035167101005184,0.9121866013060672
13,2,10,450,15,0.7828929209582056,0.9049553379184752
14,2,10,450,15,0.7705588764436191,0.9014410708104243
15,2,10,450,15,0.7549190859089663,0.8975749351821016
16,2,10,450,15,0.7775095374344302,0.9081281124183664
17,2,10,450,15,0.7235101733669069,0.8671635092166482
18,2,10,450,15,0.7898067088497877,0.9014971965837132
19,2,10,450,15,0.7680739975857706,0.8958151766182324
20,2,10,450,15,0.7978266509094054,0.9168185935113828
21,2,10,450,15,0.7495976219821648,0.8747734349945302
22,2,10,450,15,0.7941780722821841,0.8963378922702989
23,2,10,450,15,0.7654141461144719,0.8867941799981397
24,2,10,450,15,0.7402953221433928,0.8791277720751894
25,2,10,450,15,0.7159122144582845,0.8677347083542813
26,2,10,450,15,0.7421764177981067,0.8837713540025086
27,2,10,450,15,0.7770160823788037,0.903003349733282
28,2,10,450,15,0.7533314965996258,0.8840095569692927
29,2,10,450,15,0.8032724947686585,0.9059868094618186
30,2,10,450,15,0.7709456821894834,0.8902168752285284
31,2,10,450,15,0.7550550809675842,0.8959424033156492
32,2,10,450,15,0.7874965405736093,0.909152250517673
33,2,10,450,15,0.8245102873279843,0.9226668614215472
34,2,10,450,15,0.7882207876985566,0.9109995113952924
