seed,radius,duration,noa,snr,F1_score,roc_auc
3,2,10,450,10,0.7209253358413229,0.8790393124540873
4,2,10,450,10,0.7206852074607615,0.8604167782024759
5,2,10,450,10,0.7375616148679841,0.888636198474658
6,2,10,450,10,0.7177515654579875,0.8745805429973996
7,2,10,450,10,0.7250562264529345,0.8715488036459624
8,2,10,450,10,0.6950832901031759,0.857298081081345
9,2,10,450,10,0.7283864095088585,0.8849275083548536
10,2,10,450,10,0.7413716089455347,0.8928882099937452
11,2,10,450,10,0.7242163877496033,0.8818291786040348
12,2,10,450,10,0.7281995475242704,0.8864747527111898
13,2,10,450,10,0.7170271801502099,0.8763906808959854
14,2,10,450,10,0.7278741802565144,0.88004906467586
15,2,10,450,10,0.749924210708666,0.8871720739440946
16,2,10,450,10,0.7159036719122556,0.8743120129196366
17,2,10,450,10,0.7132933923764869,0.8656272071601363
18,2,10,450,10,0.7137904134523706,0.8691353716328848
19,2,10,450,10,0.7285155397838828,0.8837151291295178
20,2,10,450,10,0.7362580347620558,0.8868546027935764
21,2,10,450,10,0.73582251866889,0.8872071471796122
22,2,10,450,10,0.7333834891055876,0.8595372847952963
23,2,10,450,10,0.7105048859934854,0.8621513377058831
24,2,10,450,10,0.7407567629924439,0.8898965251134171
25,2,10,450,10,0.7268492397610058,0.8789134519397523
26,2,10,450,10,0.7146455142865414,0.8786308577691826
27,2,10,450,10,0.7377357399051255,0.8877915954640426
28,2,10,450,10,0.7204732972753506,0.8470449024297821
29,2,10,450,10,0.6997791211346198,0.8670042810474629
30,2,10,450,10,0.7129989734989229,0.8687630578765861
31,2,10,450,10,0.7069347369632123,0.8752939321339629
32,2,10,450,10,0.7204637816264402,0.8798658983944454
33,2,10,450,10,0.7370717348753119,0.8878448538893102
34,2,10,450,10,0.7299339957931384,0.8792154828887475
35,2,10,450,10,0.7358752969809352,0.8883269251748679
36,2,10,450,10,0.7500070096733492,0.8920369982409952
37,2,10,450,10,0.71882668990053,0.8792125616883026
38,2,10,450,10,0.7488368722371186,0.9014296722452796
39,2,10,450,10,0.7335874996389683,0.8863795571762914
40,2,10,450,10,0.721702000149824,0.8878297216068973
41,2,10,450,10,0.7481912980942107,0.8754545501800872
42,2,10,450,10,0.7248473624815532,0.8859886809728198
43,2,10,450,10,0.728833894679021,0.883136351236321
44,2,10,450,10,0.7360779749781786,0.8885078142106186
45,2,10,450,10,0.7714385413940504,0.9015084496432464
46,2,10,450,10,0.7506144282203268,0.8967539238693061
47,2,10,450,10,0.7260070486121224,0.883729556416346
48,2,10,450,10,0.692070712887251,0.8580239630546227
49,2,10,450,10,0.7042813411290205,0.8666508885004236
50,2,10,450,10,0.7150526771539905,0.8769131905130632
1,2,10,450,15,0.7454801154074783,0.8714859135939879
2,2,10,450,15,0.7601251495883616,0.902701367973815
3,2,10,450,15,0.7551200887154508,0.8993589800397599
4,2,10,450,15,0.7590904479645223,0.9063135938372718
5,2,10,450,15,0.7514407827135858,0.9021549135999648
6,2,10,450,15,0.7650502402795981,0.9031349298151736
7,2,10,450,15,0.7486068732362084,0.8834138489511518
8,2,10,450,15,0.7548561876765232,0.8802777543010395
9,2,10,450,15,0.7543171114599686,0.8954622073196333
10,2,10,450,15,0.7553676185938477,0.9032392798394152
11,2,10,450,15,0.8177109840433494,0.9242630759019782
12,2,10,450,15,0.7578968469887454,0.9017734776644796
13,2,10,450,15,0.8090707032555167,0.9164053135681608
14,2,10,450,15,0.7647553827404098,0.8989001534930573
15,2,10,450,15,0.7990645436041056,0.916690950194292
16,2,10,450,15,0.8082677634716261,0.9153659266577008
17,2,10,450,15,0.739775983328992,0.8828051453032698
18,2,10,450,15,0.7378579064459276,0.8868462193260578
19,2,10,450,15,0.7432045259529662,0.8889269534277265
20,2,10,450,15,0.7999596460381057,0.9171422597339904
21,2,10,450,15,0.79733197998985,0.9091289352995308
22,2,10,450,15,0.7265835238288145,0.8738407674339261
23,2,10,450,15,0.7741682177757097,0.8798032439110985
24,2,10,450,15,0.7680682932456596,0.904211627132682
25,2,10,450,15,0.7457720295704758,0.8950647854922503
26,2,10,450,15,0.7485452913759661,0.8951434965062122
27,2,10,450,15,0.7657352771028578,0.906155006361546
28,2,10,450,15,0.7679770311616374,0.8801705327505989
29,2,10,450,15,0.7357300627760985,0.8882354107840127
30,2,10,450,15,0.7301458788150419,0.8833526616221403
31,2,10,450,15,0.8305864756809618,0.9167061119509547
32,2,10,450,15,0.7445268232997829,0.9014815006159054
33,2,10,450,15,0.7654011086706412,0.9093891242025128
34,2,10,450,15,0.789758468122144,0.907883349141082
35,2,10,450,15,0.7568812655733905,0.898482000960991
36,2,10,450,15,0.7886443291742605,0.900240851557795
37,2,10,450,15,0.775284977855224,0.9037877254017934
38,2,10,450,15,0.8301181245017755,0.9273916215018028
39,2,10,450,15,0.7547872801317044,0.8970701185580245
40,2,10,450,15,0.769405948011087,0.912025557902718
41,2,10,450,15,0.7728155339805826,0.9055715572637966
42,2,10,450,15,0.762493127694667,0.9040997456359036
43,2,10,450,15,0.7543040518076295,0.8971452441575679
44,2,10,450,15,0.7430026185627,0.8969772694242906
45,2,10,450,15,0.7833318793800343,0.8961963761200745
46,2,10,450,15,0.7694087031950267,0.910429471313965
47,2,10,450,15,0.7598229109020476,0.9067914489644558
48,2,10,450,15,0.7541172405850513,0.8732240055389757
49,2,10,450,15,0.7623427684361715,0.8937350200316477
50,2,10,450,15,0.7480155866647424,0.8975146892988972
1,2,10,450,20,0.8243515578559726,0.9182402167443928
2,2,10,450,20,0.7764176651239241,0.893059665594263
3,2,10,450,20,0.7728912533864878,0.9095440972027912
4,2,10,450,20,0.7715540354487617,0.9105944081922622
5,2,10,450,20,0.7853941117779333,0.9191329940715932
6,2,10,450,20,0.7751565457987476,0.9123042523434158
7,2,10,450,20,0.8318936496339908,0.9140236277586832
8,2,10,450,20,0.7488616058562453,0.8871668977260956
9,2,10,450,20,0.7817335725498991,0.9165342196727464
10,2,10,450,20,0.7851463625264287,0.9181239512746128
11,2,10,450,20,0.8644433134748376,0.9423801097197836
12,2,10,450,20,0.7795469515163664,0.910401112221721
13,2,10,450,20,0.8329241541612795,0.931399771118415
14,2,10,450,20,0.7955138993674192,0.9093612732937202
15,2,10,450,20,0.8487534466082488,0.9433413034592476
16,2,10,450,20,0.8261206485455412,0.913655787766256
17,2,10,450,20,0.7735810830366704,0.8981718077371912
18,2,10,450,20,0.7579093351824564,0.8787392835434742
19,2,10,450,20,0.7731351532163062,0.9068750491864204
20,2,10,450,20,0.8291297956360073,0.9357323807489768
21,2,10,450,20,0.8407453055897919,0.93591307667669
22,2,10,450,20,0.7578633641019705,0.8891259344330692
23,2,10,450,20,0.8300081433224755,0.9201672065097094
24,2,10,450,20,0.7851704447136183,0.9103045792567664
25,2,10,450,20,0.7705105391837739,0.9045028900945028
26,2,10,450,20,0.773441797180326,0.91357929282186
27,2,10,450,20,0.7806027999537197,0.9134450578375412
28,2,10,450,20,0.7749952873279875,0.9051733352143976
29,2,10,450,20,0.8331783306207858,0.9355007494181312
30,2,10,450,20,0.7588300779273353,0.895741872012039
31,2,10,450,20,0.7723128253803895,0.9065195441156062
32,2,10,450,20,0.8413033662039532,0.9324518813540073
33,2,10,450,20,0.7827035426658897,0.8962794130314875
34,2,10,450,20,0.7808225139624284,0.9150389660195248
35,2,10,450,20,0.8516254273628093,0.9373982297035136
36,2,10,450,20,0.8285433898780317,0.9333339559405204
37,2,10,450,20,0.7883540259928846,0.902249114979571
38,2,10,450,20,0.8240887020798608,0.9393636920196587
39,2,10,450,20,0.7846229385090836,0.9123863482308124
40,2,10,450,20,0.8328713761330436,0.9367614927158058
41,2,10,450,20,0.7836605537576411,0.8965997212364518
42,2,10,450,20,0.8261523770942446,0.9270489429536232
43,2,10,450,20,0.7858165050087454,0.888557814468111
44,2,10,450,20,0.8131800989234798,0.9134350143078755
45,2,10,450,20,0.7936258687370962,0.926633023240848
46,2,10,450,20,0.7945641173919329,0.9242913141336844
47,2,10,450,20,0.7807648617947747,0.9106501620454516
48,2,10,450,20,0.8118737763445814,0.916398633458644
49,2,10,450,20,0.7610370391863855,0.8989361773346412
50,2,10,450,20,0.8191369606003752,0.918046355940249
