seed,radius,duration,noa,amplitude,F1_score,roc_auc
50,2,10,450,0.25,0.7160340597488815,0.8810198380023218
1,2,10,450,0.5,0.7693155292650747,0.9101022312337452
2,2,10,450,0.5,0.8284672059056765,0.921286341774746
3,2,10,450,0.5,0.7789834220019933,0.917908833001589
4,2,10,450,0.5,0.821988087129172,0.9254092488076406
5,2,10,450,0.5,0.7989456597816861,0.928729039073804
6,2,10,450,0.5,0.7787388961700888,0.9145790592070066
7,2,10,450,0.5,0.7857091695675219,0.917895839724558
8,2,10,450,0.5,0.7703902242204161,0.8846870368528009
9,2,10,450,0.5,0.831548553487329,0.932945117977125
10,2,10,450,0.5,0.7989339209672136,0.9243282550199652
11,2,10,450,0.5,0.8000778373200012,0.9245240944367402
12,2,10,450,0.5,0.8196970130874309,0.9179407098141104
13,2,10,450,0.5,0.7735665412496187,0.9152012044926968
14,2,10,450,0.5,0.8397655388543903,0.9276491569428412
15,2,10,450,0.5,0.7896233633122086,0.919826811742195
16,2,10,450,0.5,0.8018896041964712,0.9031700409176188
17,2,10,450,0.5,0.8057364475702584,0.8970732428319766
18,2,10,450,0.5,0.7852127936205253,0.8983177640380084
19,2,10,450,0.5,0.7991099346994576,0.9059452161972086
20,2,10,450,0.5,0.8241431989162079,0.9308536784799248
21,2,10,450,0.5,0.7922279417095628,0.9158722690437416
22,2,10,450,0.5,0.817500506380393,0.9072540586278756
23,2,10,450,0.5,0.7760877152163798,0.9050182955401108
24,2,10,450,0.5,0.7878237295956625,0.9159347931294302
25,2,10,450,0.5,0.772912055321673,0.9038851146777436
26,2,10,450,0.5,0.7961960455084967,0.9009592148163076
27,2,10,450,0.5,0.825552470207104,0.9255227349394778
28,2,10,450,0.5,0.784130620767658,0.9134595799604026
29,2,10,450,0.5,0.7811555452220413,0.9158385285094794
30,2,10,450,0.5,0.7794468460392961,0.900298518491335
31,2,10,450,0.5,0.8552650501912733,0.9304438224473855
32,2,10,450,0.5,0.7855446957889677,0.9198782775493736
33,2,10,450,0.5,0.8040103396237692,0.9256153213647708
34,2,10,450,0.5,0.79643142090375,0.9154529830250608
35,2,10,450,0.5,0.8389638987077708,0.9243650737299988
36,2,10,450,0.5,0.8038693396887705,0.927457489226258
37,2,10,450,0.5,0.7930007986640528,0.9205499519510794
38,2,10,450,0.5,0.8640046380172476,0.948044727325908
39,2,10,450,0.5,0.7871934841001647,0.914408157016211
40,2,10,450,0.5,0.796164506704622,0.927411388045484
41,2,10,450,0.5,0.7989931679252068,0.904603379947438
42,2,10,450,0.5,0.783442807951619,0.919450824130384
43,2,10,450,0.5,0.7943451047283135,0.8967544903326629
44,2,10,450,0.5,0.801542042478906,0.9060020825498168
45,2,10,450,0.5,0.8264270551629882,0.9210508505308556
46,2,10,450,0.5,0.8103802226398727,0.9310501594227738
47,2,10,450,0.5,0.8202021378848339,0.921598105382839
48,2,10,450,0.5,0.774962570540136,0.8931621207325964
49,2,10,450,0.5,0.790749633670405,0.8978182460468744
50,2,10,450,0.5,0.7947178525039689,0.9051150979763654
