seed,radius,duration,noa,amplitude,F1_score,roc_auc
43,2,10,450,0.5,0.7030457219676491,0.8448153028881052
44,2,10,450,0.5,0.6971486761710795,0.8438886384493077
45,2,10,450,0.5,0.6970833696821658,0.845155756363065
46,2,10,450,0.5,0.7243602717941304,0.8569590023625939
47,2,10,450,0.5,0.7019194361110302,0.8506311797673005
48,2,10,450,0.5,0.683951399285961,0.8309535454712514
49,2,10,450,0.5,0.6871327636484977,0.8423206134107908
50,2,10,450,0.5,0.6914417664886708,0.8447820634785359
1,2,10,450,1.0,0.7874385629159236,0.9024820859159816
2,2,10,450,1.0,0.806839972893868,0.9167822773285172
3,2,10,450,1.0,0.7977091200044919,0.913099482632726
4,2,10,450,1.0,0.7911769394646454,0.91187821479522
5,2,10,450,1.0,0.8129141784932465,0.917594621218772
6,2,10,450,1.0,0.7900975680792195,0.9057286545977156
7,2,10,450,1.0,0.7946767516151675,0.9021302454187574
8,2,10,450,1.0,0.7709666263185198,0.8923935909926384
9,2,10,450,1.0,0.7930309486431936,0.9147877787092088
10,2,10,450,1.0,0.8128703731276615,0.9173393640867624
11,2,10,450,1.0,0.8126515582432715,0.919303054743254
12,2,10,450,1.0,0.7962713708869097,0.9097320095829482
13,2,10,450,1.0,0.7906213228351032,0.910779107368183
14,2,10,450,1.0,0.8046253844814578,0.9098445797808123
15,2,10,450,1.0,0.8056473849085476,0.9194831656713828
16,2,10,450,1.0,0.813155698617072,0.9136745034902743
17,2,10,450,1.0,0.7929437642904692,0.902138648056223
18,2,10,450,1.0,0.7861951402733235,0.904126368071457
19,2,10,450,1.0,0.7892203202489856,0.905629410253727
20,2,10,450,1.0,0.8048309457239212,0.92125563272548
21,2,10,450,1.0,0.811397085478141,0.920202498372853
22,2,10,450,1.0,0.7958852976069909,0.9010121131626734
23,2,10,450,1.0,0.7997033503955328,0.902869469196595
24,2,10,450,1.0,0.8066851243006287,0.9132648374764196
25,2,10,450,1.0,0.7914008361905589,0.9059125221087256
26,2,10,450,1.0,0.7879454592826333,0.9094597770684678
27,2,10,450,1.0,0.8102799953719774,0.9214195705081066
28,2,10,450,1.0,0.7991531690906718,0.9093953626969028
29,2,10,450,1.0,0.805394094396652,0.9121567055446532
30,2,10,450,1.0,0.779649254702387,0.8950948814287167
31,2,10,450,1.0,0.8191676014611557,0.9216624929372168
32,2,10,450,1.0,0.801363378148078,0.9168789359553786
33,2,10,450,1.0,0.8160831951230445,0.9215365350570328
34,2,10,450,1.0,0.800551243925437,0.915959531757939
35,2,10,450,1.0,0.8206524888451063,0.9185584970341276
36,2,10,450,1.0,0.8099256974624982,0.9210092032099432
37,2,10,450,1.0,0.8040659260872722,0.9162946575024468
38,2,10,450,1.0,0.8304080005797522,0.932961450368293
39,2,10,450,1.0,0.8089709152875256,0.920052164399849
40,2,10,450,1.0,0.818188628361675,0.927340942226498
41,2,10,450,1.0,0.7954836389787846,0.9063294653256172
42,2,10,450,1.0,0.7886512919934026,0.9128129010983316
43,2,10,450,1.0,0.804001214241316,0.9104385705749964
44,2,10,450,1.0,0.8052080302589467,0.9184656730396576
45,2,10,450,1.0,0.803047486114746,0.9142765774997664
46,2,10,450,1.0,0.8245482145438774,0.9234618286124526
47,2,10,450,1.0,0.8041243118865232,0.914536348839254
48,2,10,450,1.0,0.7736093516065876,0.8934669230538987
49,2,10,450,1.0,0.7863681866322341,0.9052199308256608
50,2,10,450,1.0,0.7939673834608169,0.911982352798574
1,2,10,450,1.5,0.8195380801183072,0.9281113423777702
2,2,10,450,1.5,0.8387617688192972,0.9391128991946648
3,2,10,450,1.5,0.833869088561041,0.9349398424712458
4,2,10,450,1.5,0.8290604483992986,0.936779215087417
5,2,10,450,1.5,0.8471057765334843,0.9442743932246872
6,2,10,450,1.5,0.8243483326052133,0.931834978411668
7,2,10,450,1.5,0.8320942025871331,0.9263166736954092
8,2,10,450,1.5,0.8076546198628163,0.9158187318359918
9,2,10,450,1.5,0.8375476564252075,0.9393756669952974
10,2,10,450,1.5,0.8430660194752986,0.941204343381026
11,2,10,450,1.5,0.8491153489207556,0.9426809357334678
12,2,10,450,1.5,0.8361636931183596,0.9328952653782064
13,2,10,450,1.5,0.8303673896305765,0.9364454984009698
14,2,10,450,1.5,0.8365155823805931,0.9319610883260288
15,2,10,450,1.5,0.8387348240966638,0.9423548231354312
16,2,10,450,1.5,0.8488912732474965,0.9390828277724236
17,2,10,450,1.5,0.8265462649416804,0.923849271588682
18,2,10,450,1.5,0.82037502528098,0.9255015727769352
19,2,10,450,1.5,0.8238921450282872,0.9268773549348172
20,2,10,450,1.5,0.840890093102355,0.942713899596265
21,2,10,450,1.5,0.8427173203799029,0.9401378080153728
22,2,10,450,1.5,0.8282357707109581,0.92224692812258
23,2,10,450,1.5,0.8374243834341554,0.9307288698506252
24,2,10,450,1.5,0.8401972659629694,0.9342044159036448
25,2,10,450,1.5,0.8295068211738496,0.9320091976176168
26,2,10,450,1.5,0.8318327881191558,0.9333504868785264
27,2,10,450,1.5,0.8512958463496472,0.9449650304653852
28,2,10,450,1.5,0.8391746298739904,0.9351896684783566
29,2,10,450,1.5,0.8455882352941176,0.9423162297894704
30,2,10,450,1.5,0.8190032819118944,0.9211798859116112
31,2,10,450,1.5,0.8534242241205741,0.9440848650307804
32,2,10,450,1.5,0.834020363276186,0.9373520309320992
33,2,10,450,1.5,0.8518833953411926,0.9430619584780562
34,2,10,450,1.5,0.836498150431566,0.937427986259742
35,2,10,450,1.5,0.8480906298893203,0.9395662780370512
36,2,10,450,1.5,0.8452824898359736,0.938945573243312
37,2,10,450,1.5,0.8403107529223843,0.940604377676195
38,2,10,450,1.5,0.8588738314370606,0.952203839524262
39,2,10,450,1.5,0.847326921410623,0.9401072882340102
40,2,10,450,1.5,0.8526481384373361,0.9487402589134064
41,2,10,450,1.5,0.8302624955052139,0.9327896922770024
42,2,10,450,1.5,0.823403454961081,0.9320262638811776
43,2,10,450,1.5,0.836930282311106,0.9334260325290202
44,2,10,450,1.5,0.8436427116671515,0.9408484868214544
45,2,10,450,1.5,0.8466079269533863,0.943493050649162
46,2,10,450,1.5,0.8541275119271361,0.9472082530700326
47,2,10,450,1.5,0.8336294527131332,0.933657646774936
48,2,10,450,1.5,0.8170275250489463,0.923140771533024
